airport,timezone,elevation,continent,longitude,latitude
UTSS,Asia/Samarkand,2224.0,AS,66.98380279541016,39.70050048828125
LTAS,Europe/Istanbul,44.0,AS,32.0886,41.506401
LGRX,Europe/Athens,46.0,EU,21.4256,38.1511
LFJL,Europe/Paris,870.0,EU,6.25132,48.982101
LTBY,Europe/Istanbul,2588.0,AS,30.5194,39.809898
GMTA,Africa/Casablanca,95.0,AF,-3.83951997756958,35.177101135253906
EPRZ,Europe/Warsaw,693.0,EU,22.024155,50.109791
OEJN,Asia/Riyadh,48.0,AS,39.156502,21.6796
DABC,Africa/Algiers,2265.0,AF,6.620389938354492,36.2760009765625
CYHZ,America/Halifax,477.0,,-63.5085983276,44.8807983398
CYFB,America/Iqaluit,110.0,,-68.555801,63.756402
OPLA,Asia/Karachi,712.0,AS,74.403603,31.521601
VGHS,Asia/Dhaka,30.0,AS,90.397783,23.843347
WADD,Asia/Makassar,14.0,AS,115.167,-8.74817
EHWO,Europe/Amsterdam,63.0,EU,4.34203,51.4491
LTAP,Europe/Istanbul,1758.0,AS,35.521999,40.829399
LFOK,Europe/Paris,587.0,EU,4.20611,48.77333
LRSB,Europe/Bucharest,1496.0,EU,24.086666,45.785841
HSSK,Africa/Khartoum,1265.0,AF,32.5532,15.5895
UTSB,Asia/Samarkand,751.0,AS,64.483299,39.775002
